symbol,timestamp,open,high,low,close,volume,date
XXBTZUSD,1528416000,7679.7002,7700.0000,7530.8999,7611.8999,2073.0219,08/06/2018
XXBTZUSD,1528502400,7611.8999,7679.6001,7455.1001,7495.1001,1276.5830,09/06/2018
XXBTZUSD,1528588800,7496.7998,7496.7998,6621.7002,6767.8999,7667.3641,10/06/2018
XXBTZUSD,1528675200,6768.2002,6899.7002,6629.0000,6877.0000,3811.6133,11/06/2018
XXBTZUSD,1528761600,6877.0000,6885.6001,6450.0000,6547.2002,4724.8479,12/06/2018
XXBTZUSD,1528848000,6543.5000,6634.2998,6122.1001,6294.2002,7130.2093,13/06/2018
XXBTZUSD,1528934400,6295.7002,6734.7998,6264.3999,6640.7002,7046.8966,14/06/2018
XXBTZUSD,1529020800,6636.2998,6678.1001,6355.1001,6387.6001,3927.7566,15/06/2018
XXBTZUSD,1529107200,6388.0000,6550.0000,6324.2002,6481.3999,2365.4494,16/06/2018
XXBTZUSD,1529193600,6480.7998,6574.6001,6425.0000,6440.7998,1638.0670,17/06/2018
XXBTZUSD,1529280000,6444.5000,6800.0000,6359.1001,6706.6001,3636.4939,18/06/2018
XXBTZUSD,1529366400,6710.3999,6854.2998,6658.6001,6740.2002,2759.3874,19/06/2018
XXBTZUSD,1529452800,6740.2002,6814.0000,6515.0000,6755.3999,3586.9167,20/06/2018
XXBTZUSD,1529539200,6756.7002,6787.6001,6679.0000,6716.1001,2105.9529,21/06/2018
XXBTZUSD,1529625600,6716.1001,6725.2998,5950.0000,6055.5000,8628.4765,22/06/2018
XXBTZUSD,1529712000,6054.0000,6292.3999,6034.7002,6154.1001,3564.5855,23/06/2018
XXBTZUSD,1529798400,6154.1001,6275.0000,5650.0000,6150.1001,9238.7192,24/06/2018
XXBTZUSD,1529884800,6150.0000,6341.3999,6066.0000,6245.5000,4188.4320,25/06/2018
XXBTZUSD,1529971200,6246.0000,6278.7998,6033.2998,6081.2998,3434.1581,26/06/2018
XXBTZUSD,1530057600,6072.3999,6239.8999,6000.0000,6134.2002,3990.6326,27/06/2018
XXBTZUSD,1530144000,6132.5000,6161.1001,5820.0000,5858.6001,3611.8993,28/06/2018
XXBTZUSD,1530230400,5853.3999,6309.0000,5787.7002,6196.8999,5131.7805,29/06/2018
XXBTZUSD,1530316800,6198.6001,6525.0000,6190.5000,6387.8999,3454.2590,30/06/2018
XXBTZUSD,1530403200,6387.0000,6433.2998,6254.2998,6345.7998,1940.3894,01/07/2018
XXBTZUSD,1530489600,6343.6001,6678.7002,6275.0000,6617.7002,3636.6667,02/07/2018
XXBTZUSD,1530576000,6618.7002,6670.0000,6467.6001,6495.5000,2754.8711,03/07/2018
XXBTZUSD,1530662400,6497.0000,6790.0000,6399.7998,6584.2002,3811.8985,04/07/2018
